ID,School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference,Tournament appearances,Final Four appearances,Championship wins
181,Samford University,Samford,Bulldogs,Homewood,AL,Private,FCS,Southern Conference,2,0,0
182,San Diego State University,San Diego State,Aztecs,San Diego,CA,Public,FBS,Mountain West Conference,15,1,0
183,San Jose State University,San Jose State,Spartans,San Jose,CA,Public,FBS,Mountain West Conference,3,0,0
184,Santa Clara University,Santa Clara,Broncos,Santa Clara,CA,Private,Non-football,West Coast Conference,11,1,0
185,Seattle University,Seattle,Redhawks,Seattle,WA,Private,Non-football,Western Athletic Conference,11,1,0
186,Seton Hall University,Seton Hall,Pirates,South Orange,NJ,Private,Non-football,Big East Conference,14,1,0
187,Siena College,Siena,Saints,Loudonville,NY,Private,Non-football,Metro Atlantic Athletic Conference,6,0,0
188,South Carolina State University,South Carolina State,Bulldogs,Orangeburg,SC,Public,FCS,Mid-Eastern Athletic Conference,5,0,0
189,South Dakota State University,South Dakota State,Jackrabbits,Brookings,SD,Public,FCS,Summit League,6,0,0
190,Southeast Missouri State University,SEMO,Redhawks,Cape Girardeau,MO,Public,FCS,Ohio Valley Conference,2,0,0
191,Southeastern Louisiana University,Southeastern Louisiana,Lions,Hammond,LA,Public,FCS,Southland Conference,1,0,0
192,Southern Illinois University Carbondale,Southern Illinois,Salukis,Carbondale,IL,Public,FCS,Missouri Valley Conference,10,0,0
193,Southern Illinois University Edwardsville,SIUE,Cougars,Edwardsville,IL,Public,Non-football,Ohio Valley Conference,0,0,0
194,Southern Methodist University,SMU,Mustangs,Dallas,TX,Private,FBS,American Athletic Conference,12,1,0
195,Southern University and A&M College,Southern,Jaguars,Baton Rouge,LA,Public,FCS,Southwestern Athletic Conference,9,0,0
196,Southern Utah University,Southern Utah,Thunderbirds,Cedar City,UT,Public,FCS,Western Athletic Conference,1,0,0
197,Stanford University,Stanford,Cardinal,Stanford,CA,Private,FBS,Pac-12 Conference,17,2,1
198,State University of Iowa,Iowa,Hawkeyes,Iowa City,IA,Public,FBS,Big Ten Conference,29,3,0
199,State University of New York at Albany,Albany,Great Danes,Albany,NY,Public,FCS,America East Conference,5,0,0
200,State University of New York at Binghamton,Binghamton,Bearcats,Binghamton,NY,Public,Non-football,America East Conference,1,0,0
201,State University of New York at Buffalo,Buffalo,Bulls,Buffalo,NY,Public,FBS,Mid-American Conference,4,0,0
202,State University of New York at Stony Brook,Stony Brook,Seawolves,Stony Brook,NY,Public,FCS,Coastal Athletic Association,1,0,0
203,Stephen F. Austin State University,Stephen F. Austin,Lumberjacks,Nacogdoches,TX,Public,FCS,Western Athletic Conference,5,0,0
204,Stetson University,Stetson,Hatters,DeLand,FL,Private,FCS,ASUN Conference,0,0,0
205,Stonehill College,Stonehill,Skyhawks,Easton,MA,Private,FCS,Northeast Conference,0,0,0
206,Syracuse University,Syracuse,Orange,Syracuse,NY,Private,FBS,Atlantic Coast Conference,41,6,1
207,Tarleton State University,Tarleton,Texans,Stephenville,TX,Public,FCS,Western Athletic Conference,0,0,0
208,Temple University,Temple,Owls,Philadelphia,PA,Public,FBS,American Athletic Conference,32,2,0
209,Tennessee State University,Tennessee State,Tigers,Nashville,TN,Public,FCS,Ohio Valley Conference,2,0,0
210,Tennessee Technological University,Tennessee Tech,Golden Eagles,Cookeville,TN,Public,FCS,Ohio Valley Conference,2,0,0
211,Texas A&M University,Texas A&M,Aggies,College Station,TX,Public,FBS,Southeastern Conference,15,0,0
212,Texas A&M University–Commerce,Commerce,Lions,Commerce,TX,Public,FCS,Southland Conference,0,0,0
213,Texas A&M University–Corpus Christi,Texas A&M–Corpus Christi,Islanders,Corpus Christi,TX,Public,Non-football,Southland Conference,3,0,0
214,Texas Christian University,TCU,Horned Frogs,Fort Worth,TX,Private,FBS,Big 12 Conference,10,0,0
215,Texas Southern University,Texas Southern,Tigers,Houston,TX,Public,FCS,Southwestern Athletic Conference,11,0,0
216,Texas State University,Texas State,Bobcats,San Marcos,TX,Public,FBS,Sun Belt Conference,2,0,0
217,Texas Tech University,Texas Tech,Red Raiders,Lubbock,TX,Public,FBS,Big 12 Conference,19,1,0
218,"The Citadel, The Military College of South Carolina",The Citadel,Bulldogs,Charleston,SC,Public,FCS,Southern Conference,0,0,0
